,user_id,name,category,skill_level
112,ccb04ef6-2349-11ea-872f-74d02b9c93aa,Javascript,YW,2
113,ccb04ef6-2349-11ea-872f-74d02b9c93aa,SEM,YW,3
114,ccb04ef6-2349-11ea-872f-74d02b9c93aa,STATA,gJ,2
115,ccb04ef6-2349-11ea-872f-74d02b9c93aa,General business knowledge,CQ,5
116,ccb04ef6-2349-11ea-872f-74d02b9c93aa,Ad design,CQ,3
117,ccb04ef6-2349-11ea-872f-74d02b9c93aa,Attention to detail & aesthetics,CQ,5
118,ccb04ef7-2349-11ea-8a9f-74d02b9c93aa,Enthusiasm,JP,2
119,ccb04ef7-2349-11ea-8a9f-74d02b9c93aa,Customer Relationship Management (CRM),JP,5
120,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Customer Relationship Management (CRM),sD,1
121,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Enthusiasm,ZB,3
122,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Empathy,ZB,1
123,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Email marketing,ZB,3
124,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Active listening,ZB,2
125,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Responsive design principles,jj,2
126,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Integration of visual communication in social media platforms,jj,1
127,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Product knowledge,jj,5
128,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Task delegation,gM,4
129,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Photo editing,dj,1
130,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Time management,dj,4
131,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Brand management,dj,1
132,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Technological savviness,dj,3
133,ccb04ef9-2349-11ea-a855-74d02b9c93aa,PESTEL,gg,3
134,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Business Development,gg,1
135,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,SQL,kl,5
136,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Buyer engagement,kl,2
137,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Agile Business Analysis,kl,2
138,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,SPSS,kl,2
139,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Enterprise Resource Planning,kj,2
140,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,PESTEL,kj,1
141,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Infographics,kj,5
142,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,CSS preprocessors,kj,4
143,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Search Engine Optimization (SEO),ao,5
144,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Big Data tools,ao,1
145,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Motivation,ao,5
146,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Proposal writing,ao,3
147,ccb04efb-2349-11ea-b53d-74d02b9c93aa,Digital printing,nD,1
148,ccb04efb-2349-11ea-b53d-74d02b9c93aa,Buyer engagement,jy,4
149,ccb04efc-2349-11ea-b0c2-74d02b9c93aa,Effective communication and sociability,TI,1
150,ccb04efc-2349-11ea-b0c2-74d02b9c93aa,Testing/Debugging,TI,5
151,ccb04efc-2349-11ea-b0c2-74d02b9c93aa,HTML/CSS,TI,5
152,ccb04efc-2349-11ea-b0c2-74d02b9c93aa,Creativity,TI,2
153,ccb075de-2349-11ea-b419-74d02b9c93aa,Creativity,Ep,4
154,ccb075de-2349-11ea-b419-74d02b9c93aa,Visual Basic,Ep,2
155,ccb075de-2349-11ea-b419-74d02b9c93aa,Agile Business Analysis,Ep,4
156,ccb075de-2349-11ea-b419-74d02b9c93aa,Persuasion,Ep,5
157,ccb075de-2349-11ea-b419-74d02b9c93aa,B2B Marketing,gD,3
158,ccb075de-2349-11ea-b419-74d02b9c93aa,Research and data analysis,gD,2
159,ccb075de-2349-11ea-b419-74d02b9c93aa,B2B Marketing,uu,5
160,ccb075de-2349-11ea-b419-74d02b9c93aa,Cognos Analytics (IBM),uu,2
161,ccb075de-2349-11ea-b419-74d02b9c93aa,Data analysis,uu,2
162,ccb075df-2349-11ea-af55-74d02b9c93aa,Microsoft Office Pack,Xc,5
163,ccb075df-2349-11ea-af55-74d02b9c93aa,CMS Tools,Xc,4
164,ccb075df-2349-11ea-af55-74d02b9c93aa,Proposal writing,Xc,3
165,ccb075df-2349-11ea-af55-74d02b9c93aa,Matlab,Xc,3
166,ccb075df-2349-11ea-af55-74d02b9c93aa,Porter’s Five Forces,Ex,2
167,ccb075df-2349-11ea-af55-74d02b9c93aa,Attention to detail,Ex,4
168,ccb075df-2349-11ea-af55-74d02b9c93aa,Proposal writing,HN,3
169,ccb075df-2349-11ea-af55-74d02b9c93aa,Persuasion,HN,1
170,ccb075df-2349-11ea-af55-74d02b9c93aa,Big Data tools,HN,5
171,ccb075df-2349-11ea-af55-74d02b9c93aa,Closing,HN,5
172,ccb075e0-2349-11ea-94aa-74d02b9c93aa,Adobe Creative Suite,iu,4
173,ccb075e0-2349-11ea-94aa-74d02b9c93aa,Research and data analysis,hX,4
174,ccb075e0-2349-11ea-94aa-74d02b9c93aa,Machine learning,Cf,5
175,ccb075e0-2349-11ea-94aa-74d02b9c93aa,Microsoft Excel,Cf,2
176,ccb075e0-2349-11ea-94aa-74d02b9c93aa,Public speaking,Cf,1
177,ccb075e1-2349-11ea-a8b6-74d02b9c93aa,Six Sigma techniques,yP,4
178,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Data entry,Wd,4
179,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Buyer-Responsive selling,Wd,2
180,ccb075e2-2349-11ea-a95d-74d02b9c93aa,CMS Tools,ZM,3
181,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Email marketing,wI,3
182,ccb075e2-2349-11ea-a95d-74d02b9c93aa,The McKinsey 7s Framework,wI,2
183,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Charisma,wI,4
184,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Color sense & theory,wI,2
185,ccb075e3-2349-11ea-9608-74d02b9c93aa,Consumer Behavior Drivers,jf,5
186,ccb075e3-2349-11ea-9608-74d02b9c93aa,Technical and non-technical communication,jf,2
187,ccb075e3-2349-11ea-9608-74d02b9c93aa,CMS Tools,jf,4
188,ccb075e3-2349-11ea-9608-74d02b9c93aa,Attention to detail,jf,3
189,ccb075e3-2349-11ea-9608-74d02b9c93aa,Negotiation,sK,5
190,ccb075e3-2349-11ea-9608-74d02b9c93aa,Microsoft Office Pack,sK,2
191,ccb075e3-2349-11ea-9608-74d02b9c93aa,Responsive design principles,sK,3
192,ccb075e4-2349-11ea-8811-74d02b9c93aa,Data Mapping,Uu,1
193,ccb075e4-2349-11ea-8811-74d02b9c93aa,Public speaking,PR,1
194,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,Cloud networking and file sharing,UJ,5
195,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,Accounting Software,UJ,1
196,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,The McKinsey 7s Framework,vc,2
197,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,SAS,vc,3
198,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,System Context Diagrams,vc,1
199,ccb075e6-2349-11ea-9cfd-74d02b9c93aa,SPSS,vj,3
200,ccb075e6-2349-11ea-9cfd-74d02b9c93aa,Data analysis,vj,5
201,ccb075e6-2349-11ea-9cfd-74d02b9c93aa,CMS Tools,vj,5
202,ccb075e6-2349-11ea-9cfd-74d02b9c93aa,Acute care,vj,4
203,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Know Your Customers (KYC),xD,2
204,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Accuracy,xD,5
205,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Motivation,xD,1
206,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Paperwork/record-keeping abilities,xD,1
207,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Negotiation,Fd,4
208,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Attention to detail & aesthetics,Fd,5
209,ccb075e8-2349-11ea-a753-74d02b9c93aa,Search Engine Optimization (SEO),Qk,1
210,ccb075e8-2349-11ea-a753-74d02b9c93aa,Mathematics,Qk,3
211,ccb075e8-2349-11ea-a753-74d02b9c93aa,Negotiation,Qk,2
212,ccb075e8-2349-11ea-a753-74d02b9c93aa,Business Development,Qk,4
213,ccb075e9-2349-11ea-8b89-74d02b9c93aa,SAS,lg,1
214,ccb075e9-2349-11ea-8b89-74d02b9c93aa,Advanced Cardiac Life Support (ACLS),lg,1
215,ccb075e9-2349-11ea-8b89-74d02b9c93aa,Public speaking,lg,4
216,ccb075ea-2349-11ea-ad73-74d02b9c93aa,Updated curriculum knowledge,pT,3
217,ccb075ea-2349-11ea-ad73-74d02b9c93aa,Research and data analysis,pT,5
218,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,CRO and A/B Testing,bN,2
219,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,Proposal writing,bN,5
220,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,Telemetry,bN,3
221,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,Python,bN,5
222,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,InDesign,To,5
223,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,InDesign,To,3
224,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Customer Relationship Management (CRM),To,1
225,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Motivation,To,1
226,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Typography,JH,3
227,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Closing,RC,3
228,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Attention to detail & aesthetics,RC,3
229,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Attention to detail & aesthetics,RC,4
230,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Innovation,RC,1
231,ccb075ed-2349-11ea-9ce8-74d02b9c93aa,Advanced Cardiac Life Support (ACLS),wq,5
232,ccb075ee-2349-11ea-95f4-74d02b9c93aa,People management,CS,5
233,ccb075ee-2349-11ea-95f4-74d02b9c93aa,Illustrator,CS,2
234,ccb075ef-2349-11ea-a29e-74d02b9c93aa,InDesign,Iq,1
235,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Stress management,Iq,3
236,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Scala,Iq,2
237,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Numerical competence,Iq,1
238,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Buyer-Responsive selling,AQ,2
239,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Big Data Analysis,wq,2
240,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Enterprise Resource Planning,wq,4
241,ccb075f0-2349-11ea-b058-74d02b9c93aa,Photo editing,ac,3
242,ccb075f0-2349-11ea-b058-74d02b9c93aa,Clear communication,dm,2
243,ccb075f0-2349-11ea-b058-74d02b9c93aa,Application Programming Interface (API),CI,5
244,ccb075f0-2349-11ea-b058-74d02b9c93aa,Business Process Modeling,CI,3
246,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Physical endurance,Iw,1
247,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Research & Data analysis,lx,5
248,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Entity Relationship Diagrams,lx,1
249,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Persuasion,lx,1
250,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Critical thinking,WS,1
251,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Wireframes,WS,5
252,ccb075f2-2349-11ea-8bad-74d02b9c93aa,Negotiation,WS,2
255,ccb075f5-2349-11ea-9774-74d02b9c93aa,Cloud networking and file sharing,pi,1
256,ccb075f5-2349-11ea-9774-74d02b9c93aa,Mathematics,pi,2
257,ccb075f5-2349-11ea-9774-74d02b9c93aa,Technical and non-technical communication,pi,2
258,ccb075f5-2349-11ea-9774-74d02b9c93aa,Research & Data analysis,pi,5
259,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Stress management,ni,4
260,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Problem-solving,ni,3
261,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Application Programming Interface (API),ni,4
262,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Web scraping,ni,3
263,ccb075f6-2349-11ea-a37d-74d02b9c93aa,InDesign,MK,1
264,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Business Process Modeling,MK,2
266,ccb075f8-2349-11ea-9960-74d02b9c93aa,Telemetry,sT,4
267,ccb075f8-2349-11ea-9960-74d02b9c93aa,Accuracy,dw,2
268,ccb075f8-2349-11ea-9960-74d02b9c93aa,Storytelling,dw,3
269,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Customer Relationship Management (CRM),vk,3
270,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Responsive design principles,vk,3
271,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Creativity,vk,2
272,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Targeting and marketing through visual communications,vk,1
273,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Entity Relationship Diagrams,uy,2
274,ccb075f9-2349-11ea-8afc-74d02b9c93aa,PESTEL,uy,2
275,ccb075f9-2349-11ea-8afc-74d02b9c93aa,CSS preprocessors,uy,5
276,ccb075f9-2349-11ea-8afc-74d02b9c93aa,SQL,uy,4
277,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Surgery preparation,mD,3
278,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Stress management,mD,1
279,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Attention to detail & aesthetics,mD,2
280,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Web analytics,mD,3
282,ccb075fb-2349-11ea-a5b4-74d02b9c93aa,Copywriting,Au,1
283,ccb075fb-2349-11ea-a5b4-74d02b9c93aa,Strategic Management,Au,1
286,ccb075fe-2349-11ea-88e4-74d02b9c93aa,Motivation,um,5
287,ccb075fe-2349-11ea-88e4-74d02b9c93aa,Revenue recognition,um,1
288,ccb075fe-2349-11ea-88e4-74d02b9c93aa,Social media and mobile marketing,um,3
289,ccb075fe-2349-11ea-88e4-74d02b9c93aa,Closing,um,2
290,ccb075fe-2349-11ea-88e4-74d02b9c93aa,Microsoft Office Pack,dL,4
291,ccb075ff-2349-11ea-b93d-74d02b9c93aa,Entity Relationship Diagrams,ra,4
292,ccb075ff-2349-11ea-b93d-74d02b9c93aa,Negotiation,ra,4
293,ccb075ff-2349-11ea-b93d-74d02b9c93aa,Know Your Customers (KYC),ra,2
294,ccb075ff-2349-11ea-b93d-74d02b9c93aa,Wordpress,ra,4
296,ccb07601-2349-11ea-9322-74d02b9c93aa,Photoshop,sR,5
297,ccb07601-2349-11ea-9322-74d02b9c93aa,Logo creation,sR,2
299,ccb07603-2349-11ea-a6a4-74d02b9c93aa,Strategic Management,wD,3
300,ccb07603-2349-11ea-a6a4-74d02b9c93aa,Closing,wD,3
301,ccb07603-2349-11ea-a6a4-74d02b9c93aa,Attention to detail,ni,1
302,ccb07604-2349-11ea-b898-74d02b9c93aa,Brand management,Ro,2
303,ccb07604-2349-11ea-b898-74d02b9c93aa,CSS preprocessors,Ro,4
304,ccb07604-2349-11ea-b898-74d02b9c93aa,Patience,Ro,3
305,ccb07604-2349-11ea-b898-74d02b9c93aa,Revenue recognition,Ro,2
307,ccb07606-2349-11ea-9a9d-74d02b9c93aa,Infographics,Xm,3
308,ccb07606-2349-11ea-9a9d-74d02b9c93aa,CRO and A/B Testing,Xm,4
309,ccb07606-2349-11ea-9a9d-74d02b9c93aa,Data entry,Xm,4
310,ccb07606-2349-11ea-9a9d-74d02b9c93aa,Business Process Modeling,Xm,4
311,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Empathy,NJ,4
312,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Know Your Customers (KYC),NJ,1
313,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Enthusiasm,NJ,3
314,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Microsoft Office Pack,Ip,2
315,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Time management,Ip,2
316,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Microsoft Visio,Ip,4
317,ccb07608-2349-11ea-9771-74d02b9c93aa,Negotiation,wS,5
318,ccb07608-2349-11ea-9771-74d02b9c93aa,Cold-calling,wS,4
319,ccb07608-2349-11ea-9771-74d02b9c93aa,Agile Business Analysis,wS,2
320,ccb07608-2349-11ea-9771-74d02b9c93aa,Web scraping,TH,2
321,ccb07608-2349-11ea-9771-74d02b9c93aa,Typography,TH,1
322,ccb07609-2349-11ea-8284-74d02b9c93aa,System Context Diagrams,yd,5
323,ccb07609-2349-11ea-8284-74d02b9c93aa,HTML/CSS,Ru,2
324,ccb07609-2349-11ea-8284-74d02b9c93aa,Search Engine Optimization (SEO),Ru,1
326,ccb0760b-2349-11ea-986b-74d02b9c93aa,Technological & digital literacy,yu,5
327,ccb0760b-2349-11ea-986b-74d02b9c93aa,Negotiation,yu,5
328,ccb0760b-2349-11ea-986b-74d02b9c93aa,Public speaking,OV,4
329,ccb0760b-2349-11ea-986b-74d02b9c93aa,Enterprise Resource Planning,OV,5
330,ccb0760b-2349-11ea-986b-74d02b9c93aa,Logo creation,OV,4
331,ccb0760c-2349-11ea-8aed-74d02b9c93aa,Buyer-Responsive selling,fV,1
332,ccb0760c-2349-11ea-8aed-74d02b9c93aa,Technological & digital literacy,fV,2
333,ccb0760c-2349-11ea-8aed-74d02b9c93aa,Consumer Behavior Drivers,Xr,1
334,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Technical writing,lM,1
335,ccb0760d-2349-11ea-86d0-74d02b9c93aa,InDesign,lM,3
336,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Storyboarding,lM,2
337,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Wordpress,lM,2
338,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Technological & digital literacy,rj,2
339,ccb0760e-2349-11ea-81d4-74d02b9c93aa,Anti Money Laundering,NG,4
340,ccb0760e-2349-11ea-81d4-74d02b9c93aa,CRO and A/B Testing,NG,3
341,ccb0760e-2349-11ea-81d4-74d02b9c93aa,R,yf,1
