,user_id,school_name,graduation_year,department,degree
28,ccb04ee8-2349-11ea-9187-74d02b9c93aa,Syracuse University,1554233855,Application Software Centre (ASC),3.4765483158821784
29,ccb04ee8-2349-11ea-9187-74d02b9c93aa,Sheffield Hallam University,1421734302,Application Software Centre (ASC),3.194794714583073
30,ccb04ee9-2349-11ea-a54d-74d02b9c93aa,University of Cincinnati,1397739621,National Centre for Mathematics (NCM),3.966164006160456
31,ccb04ee9-2349-11ea-a54d-74d02b9c93aa,University of Geneva,1543992897,National Centre for Mathematics (NCM),3.394036907748044
33,ccb04eeb-2349-11ea-bfce-74d02b9c93aa,University of Science and Technology of China,1534726586,Aerospace Engineering,2.0675848582661107
34,ccb04eeb-2349-11ea-bfce-74d02b9c93aa,University of Toledo,1440429049,Aerospace Engineering,3.061668300433418
35,ccb04eeb-2349-11ea-bfce-74d02b9c93aa,North Carolina State University,1238428649,Aerospace Engineering,2.0623749690741118
38,ccb04eee-2349-11ea-863d-74d02b9c93aa,Aalto University,1532933351,Technology and Design (TCTD),2.892379034901256
39,ccb04eee-2349-11ea-863d-74d02b9c93aa,Pohang University of Science and Technology,1499614739,Technology and Design (TCTD),2.8689772838363443
40,ccb04eef-2349-11ea-894e-74d02b9c93aa,Paris Descartes University,961078814,Technology and Design (TCTD),3.082973430919819
41,ccb04eef-2349-11ea-894e-74d02b9c93aa,University of Arkansas,1434321851,Technology and Design (TCTD),2.7203304905302406
42,ccb04eef-2349-11ea-894e-74d02b9c93aa,Keio University,1433468645,Systems and Control Engineering,3.767187650674637
43,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Massey University,1403724122,National Centre for Mathematics (NCM),1.9531240488494224
44,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,LMU Munich,1054401287,Computer Science & Engineering,2.8343530001132047
45,ccb04ef1-2349-11ea-8a22-74d02b9c93aa,"National University of Ireland, Maynooth",1539466139,Educational Technology,3.329289352693343
46,ccb04ef2-2349-11ea-a0f6-74d02b9c93aa,University of Maribor,1573239702,Centre for Policy Studies (CPS),3.191538121267628
47,ccb04ef2-2349-11ea-a0f6-74d02b9c93aa,Tallinn University of Technology,1567983964,Centre for Policy Studies (CPS),3.1940872561172933
48,ccb04ef3-2349-11ea-a003-74d02b9c93aa,University of Bremen,1569331057,Centre for Bioengineering (WRCB),3.6771607755647566
49,ccb04ef4-2349-11ea-b006-74d02b9c93aa,Technical University of Dortmund,1521906599,Biosciences and Bioengineering,3.448118617012349
50,ccb04ef4-2349-11ea-b006-74d02b9c93aa,West University of Timişoara,1372246451,Biosciences and Bioengineering,2.987315531422383
51,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,Utrecht University,1576864016,Centre for Research in Nanotechnology and Science (CRNTS),2.1338886685221707
53,ccb04ef7-2349-11ea-8a9f-74d02b9c93aa,University of Hertfordshire,1534988490,Chemistry,2.6537285291094257
54,ccb04ef7-2349-11ea-8a9f-74d02b9c93aa,Australian National University,1467236157,Chemistry,2.63207783550313
55,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Czech Technical University in Prague,1394825516,Industrial Design Centre,2.6598767339156204
56,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Indian Institute of Technology Kharagpur,1023175475,Industrial Design Centre,2.7800288384604004
57,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Panjab University,1219979856,Centre for Distance Engineering Education Programme (CDEEP),2.4321179734434715
59,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Slovak University of Technology in Bratislava,1163803675,School of Management,2.370965079162308
60,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Federal University of São Carlos,1499328814,School of Management,3.2556098684925865
61,ccb04efb-2349-11ea-b53d-74d02b9c93aa,Cornell University,1309362234,National Center of Excellence in Technology for Internal Security (NCETIS),2.5717786851944884
62,ccb04efc-2349-11ea-b0c2-74d02b9c93aa,Dalhousie University,1346911415,Sophisticated Analytical Instrument Facility (SAIF),3.46639943920873
63,ccb075de-2349-11ea-b419-74d02b9c93aa,Renmin University of China,1550436165,School of Management,3.523032720188977
64,ccb075df-2349-11ea-af55-74d02b9c93aa,University of Strasbourg,1466869166,National Centre for Aerospace Innovation and Research (NCAIR),1.9635646060123035
65,ccb075df-2349-11ea-af55-74d02b9c93aa,University of Vigo,1572218487,Industrial Engineering and Operations Research (IEOR),2.7077069731779413
66,ccb075df-2349-11ea-af55-74d02b9c93aa,École Normale Supérieure de Lyon,1360515675,Industrial Engineering and Operations Research (IEOR),2.8283734005324206
68,ccb075e1-2349-11ea-a8b6-74d02b9c93aa,Michigan Technological University,1456353908,Electrical Engineering,2.825533120554481
69,ccb075e1-2349-11ea-a8b6-74d02b9c93aa,University of Colorado Boulder,1138765404,Electrical Engineering,3.415501054072594
70,ccb075e1-2349-11ea-a8b6-74d02b9c93aa,University of Antwerp,1260910680,Electrical Engineering,2.7846682562496508
71,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Tomsk State University,1576864016,Electrical Engineering,2.79590590112094
72,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Rio de Janeiro State University (UERJ),1576864016,Electrical Engineering,2.303446729017629
73,ccb075e2-2349-11ea-a95d-74d02b9c93aa,University of Oklahoma,1576864016,Centre for Formal Design and Verification of Software (CFDVS),1.835761123943064
74,ccb075e3-2349-11ea-9608-74d02b9c93aa,Moscow Institute of Physics and Technology,1576864016,Biosciences and Bioengineering,3.2089061786467035
75,ccb075e4-2349-11ea-8811-74d02b9c93aa,University of Graz,1576864016,Humanities & Social Science,3.1498721616749705
76,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,Middle East Technical University,1504464847,Centre for Urban Science and Engineering (C-USE),3.4774192254564715
77,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,Gifu University,1337427575,Center for Learning and Teaching (PPCCLT),2.2747103198561605
78,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,Ewha Womans University,1516078020,Centre for Environmental Science and Engineering (CESE),2.3280594072513754
79,ccb075e6-2349-11ea-9cfd-74d02b9c93aa,Qatar University,1524972513,Metallurgical Engineering & Materials Science,2.06301367499108
80,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,University of Kentucky,1455239537,Technology and Design (TCTD),2.513617210091217
81,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,University of Szeged,1553457080,Technology and Design (TCTD),2.5663271788393183
82,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,University of Minnesota,1470243545,National Centre for Mathematics (NCM),2.541676088806796
83,ccb075e8-2349-11ea-a753-74d02b9c93aa,Adam Mickiewicz University,854371224,Application Software Centre (ASC),2.6081882267324312
84,ccb075e9-2349-11ea-8b89-74d02b9c93aa,University of Siena,1572667601,Centre for Urban Science and Engineering (C-USE),2.134022748480919
85,ccb075e9-2349-11ea-8b89-74d02b9c93aa,Maastricht University,1572671894,Centre for Urban Science and Engineering (C-USE),2.4188391342084854
86,ccb075e9-2349-11ea-8b89-74d02b9c93aa,Georgia Institute of Technology,1570699217,Mechanical Engineering,2.0297854131911133
87,ccb075ea-2349-11ea-ad73-74d02b9c93aa,Southern Federal University,1575026710,Sophisticated Analytical Instrument Facility (SAIF),2.6346849329734665
88,ccb075ea-2349-11ea-ad73-74d02b9c93aa,Trinity College Dublin,1574184134,Sophisticated Analytical Instrument Facility (SAIF),2.0636658279228746
89,ccb075ea-2349-11ea-ad73-74d02b9c93aa,"University of Santiago, Chile (USACH)",1574961709,Sophisticated Analytical Instrument Facility (SAIF),2.4490929612414885
90,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,University of Urbino Carlo Bo,1392966816,Centre for Bioengineering (WRCB),2.581394668330668
91,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,Sharif University of Technology,1422975383,Centre for Bioengineering (WRCB),3.880397446063915
92,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Florida State University,1551203284,Center for Learning and Teaching (PPCCLT),3.53743636013924
93,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Queen’s University,1401233765,Center for Learning and Teaching (PPCCLT),1.9408627103915383
94,ccb075ed-2349-11ea-9ce8-74d02b9c93aa,École Polytechnique,1391335728,Centre for Bioengineering (WRCB),2.273824556834148
95,ccb075ed-2349-11ea-9ce8-74d02b9c93aa,Drexel University,1076124335,Centre for Bioengineering (WRCB),2.669240278043608
96,ccb075ed-2349-11ea-9ce8-74d02b9c93aa,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),1181808804,Mechanical Engineering,1.9116814451665283
97,ccb075ee-2349-11ea-95f4-74d02b9c93aa,University of Alberta,1554296099,Climate Studies,2.1612683565388964
98,ccb075ef-2349-11ea-a29e-74d02b9c93aa,University of Southern Queensland,1521511096,Centre for Aerospace Systems Design and Engineering (CASDE),2.7748765072841493
99,ccb075f0-2349-11ea-b058-74d02b9c93aa,Ulster University,1130667082,Humanities & Social Science,3.365046184575137
100,ccb075f1-2349-11ea-b85b-74d02b9c93aa,University of Toledo,1094647366,Physics,2.135372111391268
101,ccb075f2-2349-11ea-8bad-74d02b9c93aa,University of Konstanz,1055812962,Physics,2.2287094247373225
102,ccb075f3-2349-11ea-8839-74d02b9c93aa,Ulster University,1032603550,Industrial Design Centre,3.5631969948397657
104,ccb075f5-2349-11ea-9774-74d02b9c93aa,Bayreuth University,1109376454,Centre for Urban Science and Engineering (C-USE),2.2413635575982047
105,ccb075f5-2349-11ea-9774-74d02b9c93aa,University of Nebraska-Lincoln,1574782248,Centre for Urban Science and Engineering (C-USE),3.4407149166939144
106,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Huazhong University of Science and Technology,1366760293,Energy Science and Engineering,3.7968133555973833
107,ccb075f6-2349-11ea-a37d-74d02b9c93aa,University of Parma,1412965959,Energy Science and Engineering,2.8297613316065533
108,ccb075f6-2349-11ea-a37d-74d02b9c93aa,University of Murcia,1402426637,Centre for Distance Engineering Education Programme (CDEEP),3.840765088337097
109,ccb075f7-2349-11ea-96b9-74d02b9c93aa,"University of California, Berkeley",1423006427,Industrial Engineering and Operations Research (IEOR),3.739783010723995
110,ccb075f7-2349-11ea-96b9-74d02b9c93aa,University at Buffalo,1265742998,Technology and Design (TCTD),2.0100552772748284
111,ccb075f7-2349-11ea-96b9-74d02b9c93aa,Université Catholique de Louvain,1013654593,Physics,3.6641066391179136
112,ccb075f8-2349-11ea-9960-74d02b9c93aa,Colorado School of Mines,1531341046,Civil Engineering,3.4174654171158907
113,ccb075f9-2349-11ea-8afc-74d02b9c93aa,Nottingham Trent University,1568912226,Systems and Control Engineering,3.57876651483796
114,ccb075f9-2349-11ea-8afc-74d02b9c93aa,"National University of Ireland, Maynooth",1566417198,Systems and Control Engineering,2.286540708120254
115,ccb075fa-2349-11ea-a1f5-74d02b9c93aa,Rochester Institute of Technology,1424555968,National Centre for Mathematics (NCM),1.87087346460866
116,ccb075fa-2349-11ea-a1f5-74d02b9c93aa,University of Bergen,1350033917,Industrial Engineering and Operations Research (IEOR),2.982152741320346
117,ccb075fa-2349-11ea-a1f5-74d02b9c93aa,University of Cyprus,1495033852,Physics,2.46667963401274
118,ccb075fb-2349-11ea-a5b4-74d02b9c93aa,Universiti Putra Malaysia,969426205,Centre for Bioengineering (WRCB),2.294935987761184
120,ccb075fd-2349-11ea-bd7d-74d02b9c93aa,Southern Methodist University,1566700988,Climate Studies,3.4767492441411076
121,ccb075fe-2349-11ea-88e4-74d02b9c93aa,"University of Maryland, Baltimore County",1541879024,Centre for Urban Science and Engineering (C-USE),3.4099660775319887
122,ccb075ff-2349-11ea-b93d-74d02b9c93aa,AGH University of Science and Technology,1575348274,Centre for Distance Engineering Education Programme (CDEEP),3.981024224942652
123,ccb07600-2349-11ea-b1e3-74d02b9c93aa,University of Silesia in Katowice,1560909300,Sophisticated Analytical Instrument Facility (SAIF),2.8033468466379774
124,ccb07600-2349-11ea-b1e3-74d02b9c93aa,University of Cologne,1302643823,Sophisticated Analytical Instrument Facility (SAIF),2.052493190635792
125,ccb07600-2349-11ea-b1e3-74d02b9c93aa,University of Oslo,1331858406,Centre for Formal Design and Verification of Software (CFDVS),3.800864056949623
126,ccb07601-2349-11ea-9322-74d02b9c93aa,Iowa State University,1432286386,Electrical Engineering,3.009846984718119
127,ccb07602-2349-11ea-80a1-74d02b9c93aa,Iowa State University,1496312016,ABC-EDS Research Academy,3.3818522940197404
128,ccb07603-2349-11ea-a6a4-74d02b9c93aa,Missouri University of Science and Technology,1256844067,Centre for Entrepreneurship (DSCE),3.2312917404008585
129,ccb07604-2349-11ea-b898-74d02b9c93aa,"Birkbeck, University of London",1502991595,Mathematics,3.2226063093589468
130,ccb07604-2349-11ea-b898-74d02b9c93aa,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),1561938039,Center for Learning and Teaching (PPCCLT),2.6195749556422605
132,ccb07606-2349-11ea-9a9d-74d02b9c93aa,Comenius University in Bratislava,1567922806,Centre for Research in Nanotechnology and Science (CRNTS),2.2905095399888857
133,ccb07606-2349-11ea-9a9d-74d02b9c93aa,VU University Amsterdam,1563818490,Centre for Research in Nanotechnology and Science (CRNTS),3.3736071717991836
134,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Texas Tech University,1574168019,Mechanical Engineering,3.783880879896312
135,ccb07608-2349-11ea-9771-74d02b9c93aa,University of Idaho,1576864016,Technology and Design (TCTD),3.70808531710553
136,ccb07609-2349-11ea-8284-74d02b9c93aa,University of Sussex,1135930851,Chemical Engineering,2.220175860907934
137,ccb07609-2349-11ea-8284-74d02b9c93aa,Moscow Institute of Physics and Technology,1214280592,Chemical Engineering,1.9373443319769468
139,ccb0760b-2349-11ea-986b-74d02b9c93aa,"University of California, Santa Cruz",1297685640,Chemistry,3.76512622079111
140,ccb0760b-2349-11ea-986b-74d02b9c93aa,"University of California, San Diego",1300692219,Chemistry,2.4108847034021035
142,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Chungnam National University,1452071024,Earth Sciences,3.388534215230853
143,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Kobe University,1463179198,Earth Sciences,3.1413465562919134
144,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Dublin City University,1421986626,Earth Sciences,3.535790162522777
145,ccb0760e-2349-11ea-81d4-74d02b9c93aa,University of Limerick,1533680178,Climate Studies,2.8590501674826605
146,ccb0760f-2349-11ea-bc03-74d02b9c93aa,National Taiwan University of Science and Technology (Taiwan Tech),945247724,Earth Sciences,2.157966125977028
148,ccb07611-2349-11ea-8116-74d02b9c93aa,Semmelweis University,1564140180,Centre for Formal Design and Verification of Software (CFDVS),2.441696839902044
149,ccb07612-2349-11ea-a329-74d02b9c93aa,University of Vienna,1372344438,Centre for Aerospace Systems Design and Engineering (CASDE),1.934325612145941
150,ccb07612-2349-11ea-a329-74d02b9c93aa,East China University of Science and Technology,1385400511,Centre for Aerospace Systems Design and Engineering (CASDE),3.4803935077297474
151,ccb07612-2349-11ea-a329-74d02b9c93aa,University of Florida,1461358371,Centre for Urban Science and Engineering (C-USE),3.7258792293810887
152,ccb07613-2349-11ea-8d15-74d02b9c93aa,University of Amsterdam,1473685391,Civil Engineering,3.387939870276475
153,ccb07613-2349-11ea-8d15-74d02b9c93aa,Chiba University,1299493241,Civil Engineering,2.698709691107413
154,ccb07614-2349-11ea-aed7-74d02b9c93aa,National University of Singapore,1419544324,Energy Science and Engineering,3.3600238610070288
155,ccb07614-2349-11ea-aed7-74d02b9c93aa,University of Parma,1430320025,Energy Science and Engineering,3.7006283864964633
156,ccb07615-2349-11ea-991a-74d02b9c93aa,University of Trieste,1417578519,Electrical Engineering,2.772022131155328
157,ccb07615-2349-11ea-991a-74d02b9c93aa,Osaka University,1436394068,Electrical Engineering,2.6524523772935824
158,ccb07616-2349-11ea-af98-74d02b9c93aa,University of Glasgow,1511045440,Humanities & Social Science,2.6506372446419086
159,ccb07616-2349-11ea-af98-74d02b9c93aa,Old Dominion University,964392359,Centre for Aerospace Systems Design and Engineering (CASDE),2.2212381621156103
160,ccb07616-2349-11ea-af98-74d02b9c93aa,Stellenbosch University,883754651,Computer Science & Engineering,2.3460731151265675
161,ccb07617-2349-11ea-a891-74d02b9c93aa,Massey University,1541618215,Technology and Design (TCTD),1.826913438948916
162,ccb07617-2349-11ea-a891-74d02b9c93aa,Johannes Gutenberg University of Mainz,1459539578,Technology and Design (TCTD),2.504790306660105
163,ccb07617-2349-11ea-a891-74d02b9c93aa,University of Seoul,1455342082,Civil Engineering,3.065104132592321
165,ccb07619-2349-11ea-ad4b-74d02b9c93aa,University of South Dakota,1277386491,Humanities & Social Science,3.3296574608857417
166,ccb07619-2349-11ea-ad4b-74d02b9c93aa,Colorado State University,1095047201,ABC-EDS Research Academy,3.9612987929930004
168,ccb0761b-2349-11ea-958d-74d02b9c93aa,Iowa State University,1230567314,Electrical Engineering,2.6454439519521014
169,ccb0761b-2349-11ea-958d-74d02b9c93aa,Pompeu Fabra University,1384694641,Educational Technology,3.6005620529996323
170,ccb0761b-2349-11ea-958d-74d02b9c93aa,Autonomous University of Barcelona,1115170257,Centre for Research in Nanotechnology and Science (CRNTS),2.129008718393229
171,ccb0761c-2349-11ea-baa6-74d02b9c93aa,Sharif University of Technology,1427510383,Centre for Environmental Science and Engineering (CESE),3.8087573541839124
172,ccb0761c-2349-11ea-baa6-74d02b9c93aa,American University of Beirut,1565548093,Centre for Environmental Science and Engineering (CESE),2.679245922803712
173,ccb0761d-2349-11ea-8045-74d02b9c93aa,University of Ulsan,1449361277,Centre of Studies in Resources Engineering (CSRE),2.1093608465266103
174,ccb0761d-2349-11ea-8045-74d02b9c93aa,Tokyo Institute of Technology,1438334630,Centre of Studies in Resources Engineering (CSRE),2.7697885464692664
175,ccb0761d-2349-11ea-8045-74d02b9c93aa,University of Bari Aldo Moro,1436005574,Centre of Studies in Resources Engineering (CSRE),3.4061621037609537
176,ccb0761e-2349-11ea-89af-74d02b9c93aa,West University of Timişoara,1537386575,Systems and Control Engineering,3.774694192199265
177,ccb0761e-2349-11ea-89af-74d02b9c93aa,Yuan Ze University,1548326506,Systems and Control Engineering,2.80386719577278
181,ccb07622-2349-11ea-8293-74d02b9c93aa,Iowa State University,1576864016,Mechanical Engineering,2.6602837164087756
182,ccb07622-2349-11ea-8293-74d02b9c93aa,Sheffield Hallam University,1576864016,Centre for Research in Nanotechnology and Science (CRNTS),1.9723370028674028
186,ccb07626-2349-11ea-965a-74d02b9c93aa,Florida State University,1502008100,Physics,3.9850090075196976
187,ccb07627-2349-11ea-80c6-74d02b9c93aa,Michigan State University,989841207,Metallurgical Engineering & Materials Science,2.0123116459360144
188,ccb07627-2349-11ea-80c6-74d02b9c93aa,Toulouse 1 Capitole University,1046105703,Metallurgical Engineering & Materials Science,2.412935989711126
189,ccb07627-2349-11ea-80c6-74d02b9c93aa,Indian Institute of Technology Roorkee,1407773315,Metallurgical Engineering & Materials Science,2.013093390075059
190,ccb07628-2349-11ea-91e8-74d02b9c93aa,Ghent University,1445365384,Electrical Engineering,1.91415569784318
191,ccb07628-2349-11ea-91e8-74d02b9c93aa,Ohio University,1378638318,Centre for Environmental Science and Engineering (CESE),3.230350667354628
193,ccb0762a-2349-11ea-a976-74d02b9c93aa,University of Greifswald,1561006722,Humanities & Social Science,3.816612799474792
194,ccb0762a-2349-11ea-a976-74d02b9c93aa,Western Sydney University,1569479913,Humanities & Social Science,3.308042159268367
195,ccb0762b-2349-11ea-93b1-74d02b9c93aa,University of Georgia,1134943683,Application Software Centre (ASC),2.8270811876073543
197,ccb0762d-2349-11ea-83fb-74d02b9c93aa,Toulouse 1 Capitole University,1196063574,Centre for Aerospace Systems Design and Engineering (CASDE),3.989450907438649
198,ccb0762d-2349-11ea-83fb-74d02b9c93aa,Miami University,1569727184,Centre for Aerospace Systems Design and Engineering (CASDE),3.8313042315338017
199,ccb0762e-2349-11ea-ac05-74d02b9c93aa,University of Debrecen,1574696623,Centre for Environmental Science and Engineering (CESE),2.7745480254294703
200,ccb0762e-2349-11ea-ac05-74d02b9c93aa,University of Essex,1574184486,Computer Centre (CC),3.5043289342325665
201,ccb0762f-2349-11ea-b3a0-74d02b9c93aa,Hong Kong Baptist University,1110511037,Climate Studies,3.944250919256509
202,ccb0762f-2349-11ea-b3a0-74d02b9c93aa,Mines ParisTech,1024678986,Mechanical Engineering,2.3139697139272863
203,ccb0762f-2349-11ea-b3a0-74d02b9c93aa,École Normale Supérieure de Lyon,1139883340,Metallurgical Engineering & Materials Science,2.339452911362629
204,ccb07630-2349-11ea-b97a-74d02b9c93aa,Jordan University of Science and Technology,1129288112,Centre for Research in Nanotechnology and Science (CRNTS),3.972045070831249
205,ccb07631-2349-11ea-bf75-74d02b9c93aa,Erasmus University Rotterdam,1568419478,Educational Technology,1.9635012165859809
206,ccb07631-2349-11ea-bf75-74d02b9c93aa,University of Porto,1574642525,Computer Science & Engineering,2.61205164322575
207,ccb07631-2349-11ea-bf75-74d02b9c93aa,George Washington University,1563573235,Computer Science & Engineering,2.8749494514435203
208,ccb07632-2349-11ea-9947-74d02b9c93aa,La Trobe University,1545871399,Aerospace Engineering,3.9784769142922114
210,ccb07634-2349-11ea-9d91-74d02b9c93aa,Chalmers University of Technology,1562010929,Metallurgical Engineering & Materials Science,3.4708436131703264
211,ccb07634-2349-11ea-9d91-74d02b9c93aa,University of Bristol,1567998060,Metallurgical Engineering & Materials Science,2.889547362501588
212,ccb07634-2349-11ea-9d91-74d02b9c93aa,University of Marrakech Cadi Ayyad,1565593477,Centre of Studies in Resources Engineering (CSRE),3.999531238520412
213,ccb07635-2349-11ea-b557-74d02b9c93aa,Illinois Institute of Technology,1369367982,National Centre for Mathematics (NCM),2.975293199710971
214,ccb07635-2349-11ea-b557-74d02b9c93aa,Ruhr University Bochum,1419773343,National Centre for Mathematics (NCM),1.8384491975319568
216,ccb07637-2349-11ea-ad8a-74d02b9c93aa,National Taiwan University,1567141383,Systems and Control Engineering,3.929068692493483
217,ccb07637-2349-11ea-ad8a-74d02b9c93aa,University of Utah,1294057892,Systems and Control Engineering,3.5361171370979227
218,ccb07638-2349-11ea-825b-74d02b9c93aa,Cardiff University,1237444993,Computer Centre (CC),2.5989465966289163
219,ccb07638-2349-11ea-825b-74d02b9c93aa,Concordia University,1196501171,Computer Centre (CC),2.488611440280788
220,ccb07639-2349-11ea-b270-74d02b9c93aa,University of Utah,1576864016,School of Management,3.439269763206299
221,ccb07639-2349-11ea-b270-74d02b9c93aa,"University of Maryland, College Park",1576864016,ABC-EDS Research Academy,3.473733676939513
222,ccb07639-2349-11ea-b270-74d02b9c93aa,National Yang-Ming University,1576864016,Application Software Centre (ASC),3.2675674554871144
223,ccb0763a-2349-11ea-9d81-74d02b9c93aa,Indian Institute of Science,1575627804,Educational Technology,2.6640940039043084
224,ccb0763a-2349-11ea-9d81-74d02b9c93aa,University of Guelph,1575239011,Educational Technology,2.54118270493938
225,ccb0763a-2349-11ea-9d81-74d02b9c93aa,Gifu University,1573357360,Physics,2.3349407483872056
226,ccb0763b-2349-11ea-a561-74d02b9c93aa,Yonsei University,1501122846,Centre for Technology Alternatives for Rural Areas (CTARA),2.10365097418796
227,ccb0763b-2349-11ea-a561-74d02b9c93aa,University of Chicago,1174106378,Sophisticated Analytical Instrument Facility (SAIF),3.557561151588149
228,ccb0763b-2349-11ea-a561-74d02b9c93aa,University of New South Wales,1279492729,Sophisticated Analytical Instrument Facility (SAIF),1.9303672433996049
229,ccb0763c-2349-11ea-9ccb-74d02b9c93aa,National Central University,1466574575,Centre for Formal Design and Verification of Software (CFDVS),3.5260329252844933
230,ccb0763d-2349-11ea-8536-74d02b9c93aa,University of Würzburg,1007966108,Centre for Environmental Science and Engineering (CESE),2.989286559553116
231,ccb0763d-2349-11ea-8536-74d02b9c93aa,University of Granada,1342526875,Sophisticated Analytical Instrument Facility (SAIF),2.290045373983363
234,ccb07640-2349-11ea-b537-74d02b9c93aa,Kent State University,1464212445,Electrical Engineering,1.8080334661516564
235,ccb07640-2349-11ea-b537-74d02b9c93aa,Showa University,1436596033,Electrical Engineering,3.349282201849649
236,ccb07640-2349-11ea-b537-74d02b9c93aa,Hacettepe University,1354954103,Technology and Design (TCTD),3.633413610759349
238,ccb07642-2349-11ea-931d-74d02b9c93aa,City University of Hong Kong,1471161918,Technology and Design (TCTD),3.7961419631005047
239,ccb07642-2349-11ea-931d-74d02b9c93aa,La Trobe University,1476290974,Technology and Design (TCTD),2.058899844356818
240,ccb07643-2349-11ea-8aae-74d02b9c93aa,Kanazawa University,1576864016,Biosciences and Bioengineering,2.650622077998513
