,user_id,company_name,company_type,industry,latest_title,intro,currently_employed
14,ccb04ee6-2349-11ea-b664-74d02b9c93aa,Flipopia,Unlimited Companies,,Civil Engineer,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",True
15,ccb04ee7-2349-11ea-8ae7-74d02b9c93aa,Avaveo,Public Company,Finance,Administrative Officer,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",True
18,ccb04eea-2349-11ea-99a6-74d02b9c93aa,Wordtune,Companies Limited By Shares,Capital Goods,Financial Advisor,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",True
21,ccb04eed-2349-11ea-b4dd-74d02b9c93aa,Feedfire,Private Company,Health Care,Recruiting Manager,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,True
22,ccb04eee-2349-11ea-863d-74d02b9c93aa,Fliptune,Registered or Incorporated Companies,Consumer Services,Programmer III,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",True
23,ccb04eef-2349-11ea-894e-74d02b9c93aa,Trunyx,Royal Chartered Companies,Health Care,Social Worker,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",False
24,ccb04ef0-2349-11ea-92b5-74d02b9c93aa,Avavee,Companies Limited By Guarantee,,Nuclear Power Engineer,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",False
25,ccb04ef1-2349-11ea-8a22-74d02b9c93aa,Yoveo,Unlimited Companies,Finance,General Manager,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",True
27,ccb04ef3-2349-11ea-a003-74d02b9c93aa,Viva,Statutory Companies,Consumer Non-Durables,Food Chemist,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,True
29,ccb04ef5-2349-11ea-b59c-74d02b9c93aa,Jabbersphere,Royal Chartered Companies,,Graphic Designer,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",True
30,ccb04ef6-2349-11ea-872f-74d02b9c93aa,Linktype,Private Company,,Editor,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",True
31,ccb04ef7-2349-11ea-8a9f-74d02b9c93aa,Skivee,One Person Company,,Speech Pathologist,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",True
32,ccb04ef8-2349-11ea-83e4-74d02b9c93aa,Twimbo,Unlimited Companies,Capital Goods,Engineer II,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",True
33,ccb04ef9-2349-11ea-a855-74d02b9c93aa,Feedfish,Registered or Incorporated Companies,Consumer Non-Durables,Senior Cost Accountant,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",True
34,ccb04efa-2349-11ea-ba0c-74d02b9c93aa,Eidel,Unlimited Companies,Consumer Services,Software Engineer I,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",True
35,ccb04efb-2349-11ea-b53d-74d02b9c93aa,Linklinks,Royal Chartered Companies,,Programmer Analyst IV,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",False
36,ccb04efc-2349-11ea-b0c2-74d02b9c93aa,Mycat,Registered or Incorporated Companies,,Mechanical Systems Engineer,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",False
37,ccb075de-2349-11ea-b419-74d02b9c93aa,Dynava,Companies Limited By Shares,Consumer Durables,Automation Specialist II,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",False
38,ccb075df-2349-11ea-af55-74d02b9c93aa,Yata,Registered or Incorporated Companies,,Chemical Engineer,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",True
39,ccb075e0-2349-11ea-94aa-74d02b9c93aa,Feedbug,Companies Limited By Guarantee,Finance,Marketing Assistant,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",True
40,ccb075e1-2349-11ea-a8b6-74d02b9c93aa,Trilia,Companies Limited By Guarantee,Health Care,Engineer II,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",True
41,ccb075e2-2349-11ea-a95d-74d02b9c93aa,Zoomzone,One Person Company,,Electrical Engineer,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",False
42,ccb075e3-2349-11ea-9608-74d02b9c93aa,Izio,Unlimited Companies,Capital Goods,Technical Writer,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",True
43,ccb075e4-2349-11ea-8811-74d02b9c93aa,Wikibox,Companies Limited By Shares,Technology,Registered Nurse,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",True
44,ccb075e5-2349-11ea-a4ce-74d02b9c93aa,Tagchat,Unlimited Companies,,Database Administrator I,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",False
45,ccb075e6-2349-11ea-9cfd-74d02b9c93aa,Livetube,Unlimited Companies,,Programmer IV,In congue. Etiam justo. Etiam pretium iaculis justo.,False
46,ccb075e7-2349-11ea-9bbf-74d02b9c93aa,Realcube,One Person Company,Technology,Marketing Assistant,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",False
47,ccb075e8-2349-11ea-a753-74d02b9c93aa,Dynazzy,Registered or Incorporated Companies,Finance,Accounting Assistant III,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",False
48,ccb075e9-2349-11ea-8b89-74d02b9c93aa,Twitterbeat,Public Company,Miscellaneous,Staff Accountant II,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",True
49,ccb075ea-2349-11ea-ad73-74d02b9c93aa,Linktype,Unlimited Companies,Technology,Biostatistician III,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",False
50,ccb075eb-2349-11ea-a3f2-74d02b9c93aa,Skimia,Royal Chartered Companies,Technology,Systems Administrator III,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",False
51,ccb075ec-2349-11ea-8ac2-74d02b9c93aa,Yakitri,Private Company,Health Care,VP Product Management,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",True
52,ccb075ed-2349-11ea-9ce8-74d02b9c93aa,Youspan,Statutory Companies,,Assistant Media Planner,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",True
53,ccb075ee-2349-11ea-95f4-74d02b9c93aa,Yoveo,Unlimited Companies,Finance,Marketing Assistant,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",False
54,ccb075ef-2349-11ea-a29e-74d02b9c93aa,Yodel,Private Company,Technology,Nurse,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",True
55,ccb075f0-2349-11ea-b058-74d02b9c93aa,Youspan,Registered or Incorporated Companies,Health Care,Staff Accountant II,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",False
56,ccb075f1-2349-11ea-b85b-74d02b9c93aa,Photobug,One Person Company,,Food Chemist,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",False
59,ccb075f4-2349-11ea-9e34-74d02b9c93aa,Plambee,One Person Company,Basic Industries,Sales Representative,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",True
61,ccb075f6-2349-11ea-a37d-74d02b9c93aa,Twitterlist,Companies Limited By Guarantee,Technology,Speech Pathologist,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",True
62,ccb075f7-2349-11ea-96b9-74d02b9c93aa,Zoomcast,Unlimited Companies,Finance,Associate Professor,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",False
63,ccb075f8-2349-11ea-9960-74d02b9c93aa,Topicware,One Person Company,,Mechanical Systems Engineer,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",True
65,ccb075fa-2349-11ea-a1f5-74d02b9c93aa,Cogilith,Royal Chartered Companies,,Programmer Analyst III,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",False
67,ccb075fc-2349-11ea-8800-74d02b9c93aa,Kanoodle,Private Company,Energy,Technical Writer,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",True
68,ccb075fd-2349-11ea-bd7d-74d02b9c93aa,Thoughtbridge,Companies Limited By Shares,Energy,Administrative Assistant II,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",False
69,ccb075fe-2349-11ea-88e4-74d02b9c93aa,Divavu,One Person Company,Technology,Junior Executive,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",False
70,ccb075ff-2349-11ea-b93d-74d02b9c93aa,Photojam,Unlimited Companies,,Desktop Support Technician,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",True
71,ccb07600-2349-11ea-b1e3-74d02b9c93aa,Skilith,One Person Company,Public Utilities,Sales Representative,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,True
73,ccb07602-2349-11ea-80a1-74d02b9c93aa,Oozz,Private Company,Miscellaneous,Media Manager III,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",True
74,ccb07603-2349-11ea-a6a4-74d02b9c93aa,Topicware,Public Company,,Graphic Designer,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",True
75,ccb07604-2349-11ea-b898-74d02b9c93aa,Blogtags,Registered or Incorporated Companies,Basic Industries,Nurse Practicioner,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",True
76,ccb07605-2349-11ea-a78f-74d02b9c93aa,Skynoodle,One Person Company,Consumer Durables,Web Developer II,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,False
77,ccb07606-2349-11ea-9a9d-74d02b9c93aa,Thoughtstorm,Companies Limited By Guarantee,Finance,Account Executive,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",False
78,ccb07607-2349-11ea-9f2c-74d02b9c93aa,Browsebug,One Person Company,Basic Industries,Budget/Accounting Analyst IV,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",True
79,ccb07608-2349-11ea-9771-74d02b9c93aa,Brainbox,One Person Company,Finance,Administrative Officer,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",True
80,ccb07609-2349-11ea-8284-74d02b9c93aa,Wordtune,Companies Limited By Guarantee,,Assistant Professor,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",True
82,ccb0760b-2349-11ea-986b-74d02b9c93aa,Shufflester,Public Company,Health Care,Payment Adjustment Coordinator,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",False
84,ccb0760d-2349-11ea-86d0-74d02b9c93aa,Bluezoom,One Person Company,,Payment Adjustment Coordinator,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",False
